"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1712238,"June 19, 2020",Ohio,Sandusky,"600 block of Taylor St",0,0,N/A
1709813,"June 19, 2020",Wisconsin,Milwaukee,"2200 block of Dr Martin Luther King Jr Dr",0,1,N/A
1712235,"June 19, 2020","New York",Harpursville,N/A,0,2,N/A
1709512,"June 19, 2020",Ohio,Sandusky,"1002 W Jefferson St",0,2,N/A
1711324,"June 19, 2020",California,Visalia,"S Central St",0,1,N/A
1710240,"June 19, 2020",Oklahoma,Jay,"200 block of S Hampton Dr",1,0,N/A
1712208,"June 19, 2020",Louisiana,"New Orleans","N Villere St and Tuoro St",0,1,N/A
1709656,"June 19, 2020",California,Escondido,"Broadway and W Washington Ave",1,0,N/A
1712918,"June 19, 2020",Virginia,Hampton,"400 block of Smiley Rd",0,1,N/A
1713429,"June 19, 2020",Tennessee,Memphis,"Peres Ave and N Merton St",0,1,N/A
1710688,"June 19, 2020",Missouri,Columbia,"400 block of Providence Rd",0,1,N/A
1710827,"June 19, 2020",Ohio,Dayton,"Fairbanks Ave and Gramont Ave",0,1,N/A
1710234,"June 19, 2020",Missouri,"Saint Louis","5600 block of Minerva Ave",0,1,N/A
1709798,"June 19, 2020",Michigan,Detroit,"W Warren Ave and W Grand Blvd",1,0,N/A
1710233,"June 19, 2020",Missouri,Columbia,"5400 block of Kelsey Dr",0,0,N/A
1710224,"June 19, 2020",Virginia,Richmond,"Bending Branch Dr and Meadows Run",0,1,N/A
1710269,"June 19, 2020",Michigan,Detroit,"7700 block of Auburn St",0,1,N/A
1713562,"June 19, 2020",Kansas,Lansing,"700 block of 1st Ter",0,1,N/A
1711208,"June 19, 2020",Michigan,Detroit,"18000 block of Lahser Rd",0,2,N/A
1711083,"June 19, 2020",Virginia,Richmond,"206 Hospital St",2,2,N/A
1713376,"June 19, 2020",Arkansas,"Little Rock","Nantucket Cir",0,1,N/A
1713369,"June 19, 2020",California,"Los Angeles","700 block of Echo Park Ave",1,0,N/A
