"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1695526,"June 1, 2020",Michigan,Albion,"14000 block of 24 Mile Rd",1,2,N/A
1695591,"June 1, 2020","New York",Wyandanch,"9 Lincoln Ave",0,1,N/A
1695580,"June 1, 2020",California,Oroville,"4900 block of Nobb Rd",0,0,N/A
1695577,"June 1, 2020","New York",Buffalo,"Bailey Ave",0,2,N/A
1694603,"June 1, 2020","New York",Bronx,"E 167th St and Washington Ave",0,0,N/A
1694601,"June 1, 2020","New York",Brooklyn,"82 York St",0,0,N/A
1694852,"June 1, 2020",Texas,Austin,N/A,0,1,N/A
1694594,"June 1, 2020","New York","New York (Manhattan)","W 183rd St and Audubon Ave",0,1,N/A
1694593,"June 1, 2020","New York",Brooklyn,"3008 Glenwood Rd",0,0,N/A
1695691,"June 1, 2020",Alabama,Montgomery,"700 block of Pollard Cir",0,1,N/A
1694589,"June 1, 2020","New York",Brooklyn,"484 Columbia St",0,1,N/A
1694587,"June 1, 2020","New York",Brooklyn,"721 Van Siclen Ave",0,1,N/A
1694585,"June 1, 2020","New York",Brooklyn,"1117 Putnam Ave",0,1,N/A
1694582,"June 1, 2020",Tennessee,Knoxville,"5000 block of Schubert Rd",0,1,N/A
1696430,"June 1, 2020",Wisconsin,Beloit,"900 block of Keeler Ave",0,1,N/A
1695534,"June 1, 2020",Ohio,Steubenville,"600 block of Franklin Ave",1,1,N/A
1695522,"June 1, 2020",Michigan,Detroit,"3433 Gratiot Ave",0,1,N/A
1694416,"June 1, 2020",Arkansas,Fayetteville,"3214 M.L.K. Jr Blvd",1,0,N/A
1696488,"June 1, 2020",Kentucky,Louisville,"S 4th St",0,1,N/A
1697129,"June 1, 2020","New York",Syracuse,"500 block of W Fayette St",0,1,N/A
1694549,"June 1, 2020",Tennessee,Memphis,"1573 Dallas St",1,0,N/A
1694475,"June 1, 2020",Louisiana,"New Orleans","1200 block of Freret St",0,2,N/A
1694538,"June 1, 2020",Texas,"San Antonio","1100 block of Center St",0,1,N/A
1694724,"June 1, 2020",Mississippi,Meridian,"Co Rd 514",1,0,N/A
1694527,"June 1, 2020",Louisiana,"New Orleans","1600 block of Eagle St",0,1,N/A
1697079,"June 1, 2020",Michigan,Kalamazoo,"1300 block of Jack Pine Way",1,0,N/A
1694520,"June 1, 2020",Michigan,Detroit,"Eaton Rd and Woodward Ave",0,1,N/A
1694519,"June 1, 2020",Michigan,Detroit,"17500 block of Stoepel St",0,0,N/A
1694518,"June 1, 2020",Michigan,Detroit,"13700 block of Castleton St",0,0,N/A
1694517,"June 1, 2020",Michigan,Detroit,"Orangelawn St and Heyden",0,0,N/A
1694514,"June 1, 2020",Michigan,Detroit,"Seven Mile E and Healy Ave",0,0,N/A
1697065,"June 1, 2020",Michigan,Chelsea,"1600 block of Main St",0,0,N/A
1694591,"June 1, 2020",Virginia,Lynchburg,"2100 Park Ave",0,0,N/A
1694597,"June 1, 2020","New York","Corona (Queens)","179-16 137th Ave",2,1,N/A
1694482,"June 1, 2020",Minnesota,Milwaukee,"Washington Ave SE and  I-35 W",0,0,N/A
1693946,"June 1, 2020",Kentucky,Louisville,"2601 W Broadway",1,1,N/A
1694310,"June 1, 2020",Texas,"San Antonio","2100 block of SW Loop 410",1,0,N/A
1697008,"June 1, 2020",Georgia,Rome,"Grady Ave",1,0,N/A
1694423,"June 1, 2020",Arkansas,"Fort Smith","N 48th St and Virginia Ave",0,1,N/A
1695362,"June 1, 2020",Idaho,Boise,"700 W Jefferson St",0,0,N/A
1694471,"June 1, 2020",Connecticut,Bridgeport,"199 Yacht St",0,0,N/A
1694205,"June 1, 2020",Illinois,Chicago,"2700 block of W Haddon Ave",1,1,N/A
1696225,"June 1, 2020",Massachusetts,Boston,"Providence St",0,0,N/A
1694450,"June 1, 2020","New York",Albany,"Elizabeth St",0,1,N/A
1694905,"June 1, 2020",Texas,Killeen,"2800 block of Kerville Ct",1,0,N/A
1696212,"June 1, 2020",Texas,Killeen,"600 block of W Green Ave",1,0,N/A
1696177,"June 1, 2020",Utah,Fairview,"Cobble Ridge Rd",1,0,N/A
1695095,"June 1, 2020",Tennessee,Nashville,"1200 block of Joseph Ave",0,1,N/A
1696164,"June 1, 2020",Tennessee,Chattanooga,"E M L King Blvd and Market St",0,0,N/A
1695295,"June 1, 2020",Texas,"Haltom City","4100 Northern Cross Blvd",0,1,N/A
1694230,"June 1, 2020",Iowa,Davenport,"N Myrtle St and W 15th St",1,1,N/A
1694339,"June 1, 2020",Maryland,Baltimore,"600 block of Hardwood Ave",1,0,N/A
1695511,"June 1, 2020",Utah,"Salt Lake City (West Valley City)",N/A,0,0,N/A
1695281,"June 1, 2020",Kentucky,Hopkinsville,"4580 Fort Campbell Blvd",0,0,N/A
1695279,"June 1, 2020",Massachusetts,Boston,"Evans St and Capen St",0,0,N/A
1695277,"June 1, 2020",Texas,Dallas,"5200 block of Colonial Ave",1,0,N/A
1695262,"June 1, 2020",California,Santee,"Cuyamaca St and Mission Gorge Rd",0,0,N/A
1695242,"June 1, 2020",Texas,Pflugerville,"1908 West Pecan St",0,0,N/A
1694222,"June 1, 2020",California,Hayward,"26059 Mission Blvd",0,1,N/A
1694200,"June 1, 2020",Iowa,Davenport,"4007 E 53rd St",0,1,N/A
1695251,"June 1, 2020",Oregon,Medford,"120 S Front St",0,0,N/A
1695240,"June 1, 2020",Louisiana,Lafayette,"1600 block of E Simcoe St",0,1,N/A
1695236,"June 1, 2020",Pennsylvania,Philadelphia,"1100 block of N 63rd St",0,1,N/A
1695083,"June 1, 2020",Indiana,"Fort Wayne","500 block of Pierce Ave",1,0,N/A
1694706,"June 1, 2020",Pennsylvania,Lewisburg,"1704 W Market St",0,2,N/A
1695210,"June 1, 2020",Wisconsin,Milwaukee,"3400 block of N 13th St",0,1,N/A
1695207,"June 1, 2020","New York","New York (Manhattan)","Spring St and Crosby St",0,1,N/A
1695188,"June 1, 2020",Wisconsin,Milwaukee,"2000 block of  W Vliet St",0,1,N/A
1694352,"June 1, 2020",Missouri,"Saint Louis","I-70 and Goodfellow Blvd",0,1,N/A
1695186,"June 1, 2020",Wisconsin,Milwaukee,"5100 block of N Sherman Blvd",0,1,N/A
1695184,"June 1, 2020","North Carolina",Kinston,"W Washington Ave and College St",0,0,N/A
1694254,"June 1, 2020",Wisconsin,Madison,"S Fairchild St and W Doty St",0,1,N/A
1695989,"June 1, 2020","New Mexico",Roswell,"1500 block of S Kansas Ave",0,0,N/A
1694332,"June 1, 2020",Missouri,"Kansas City","E 12th St and Brooklyn Ave",1,0,N/A
1694330,"June 1, 2020",Missouri,"Kansas City",N/A,1,0,N/A
1695124,"June 1, 2020","South Carolina","Rock Hill","Wildcat Creek Rd",1,0,N/A
1694085,"June 1, 2020","North Dakota","Grand Forks","514 Louisiana St",2,0,N/A
1695117,"June 1, 2020","South Carolina",Orangeburg,"898 Russell St",0,0,N/A
1694560,"June 1, 2020",Tennessee,Springfield,"9060 US-79",3,0,N/A
1696923,"June 1, 2020",Nevada,"Las Vegas","1900 block of Freemont St",1,0,N/A
1694313,"June 1, 2020",Illinois,Lexington,"Route 66",0,0,N/A
1696549,"June 1, 2020",Tennessee,Dayton,"Lower Cove Loop Rd",1,0,N/A
1695982,"June 1, 2020",Arizona,Yuma,"3800 block of W 5th St",1,2,N/A
1695981,"June 1, 2020",Illinois,Chicago,"1400 block of W Irving Park Rd",0,0,N/A
1698520,"June 1, 2020","North Carolina",Greensboro,"423 W Meadowview Rd",0,0,N/A
1695070,"June 1, 2020",Arizona,Scottsdale,"78th St and Glenrosa Ave",0,0,N/A
1694252,"June 1, 2020",Iowa,Davenport,"1100 block of W 15th St",1,0,N/A
1695972,"June 1, 2020",Illinois,Chicago,"2075 N Western Ave",0,0,N/A
1696848,"June 1, 2020","New Mexico",Albuquerque,"207 Old Coors Road SW",0,0,N/A
1694246,"June 1, 2020",Wisconsin,Milwaukee,"2600 block of N 57th St",0,2,N/A
1694239,"June 1, 2020","South Carolina",Charleston,"1900 block of Clements Ferry Rd",0,1,N/A
1695944,"June 1, 2020",Georgia,Athens,"700 US-29 N",0,0,N/A
1695067,"June 1, 2020",California,Fresno,"Dovewood Ave and Valentine Ave",0,1,N/A
1695470,"June 1, 2020",Arizona,Tucson,"700 block of W Columbia St",1,0,N/A
1695051,"June 1, 2020",Maryland,"Glen Burnie","301 Hospital Dr",0,0,N/A
1695934,"June 1, 2020",Florida,Auburndale,"2584 Edmond Cir",0,0,N/A
1695020,"June 1, 2020",Georgia,Savannah,"500 block of Alamo St",1,1,N/A
1695033,"June 1, 2020",Georgia,"Savannah (Garden City)","600 Block of US-80",0,1,N/A
1694212,"June 1, 2020",Georgia,Atlanta,"1937 Piedmont Cir NE",0,1,N/A
1695019,"June 1, 2020","New Jersey","Sussex County (county)",N/A,0,0,N/A
1695007,"June 1, 2020","New Jersey",Newark,"50 North Munn Ave",0,1,N/A
1695003,"June 1, 2020",California,Oakland,"Maybelle Ave and Bayo St",1,1,N/A
1694999,"June 1, 2020",California,Oakland,"6200 block of Avenal Ave",1,0,N/A
1694983,"June 1, 2020",Delaware,Dover,"800 block of Woodcrest Turn",0,0,N/A
1694977,"June 1, 2020",Georgia,Atlanta,"Tanner St and William H Borders Dr SE",0,2,N/A
1695906,"June 1, 2020",Florida,Miami,"831 NW 42nd Ave",0,0,N/A
1694984,"June 1, 2020",Georgia,"Fort Valley","1105 Edward St",1,0,N/A
1694967,"June 1, 2020","New Jersey","Atlantic City","500 block of N Ohio Ave",0,0,N/A
1694973,"June 1, 2020",Delaware,Dover,"300 block of Kesselring Ave",1,0,N/A
1694202,"June 1, 2020",Illinois,Chicago,"4800 W Grand Ave",0,1,N/A
1694965,"June 1, 2020",Georgia,Atlanta,"Baker-Highland Connector",1,0,N/A
1694197,"June 1, 2020",Illinois,Chicago,N/A,0,1,N/A
1694190,"June 1, 2020",Illinois,Chicago,"3900 W Adams St",0,1,N/A
1694814,"June 1, 2020",California,"Los Angeles","Vermont Ave and 22nd St",0,2,N/A
1694186,"June 1, 2020",Illinois,Chicago,"100 E 75th St",0,1,N/A
1694180,"June 1, 2020",Illinois,Chicago,"1200 N Washtenaw Ave",0,2,N/A
1694177,"June 1, 2020",Illinois,Chicago,"300 W 64th St",0,1,N/A
1694938,"June 1, 2020",Florida,Tampa,"E Cayuga St and N 22nd St",1,2,N/A
1695040,"June 1, 2020",Maryland,"Perry Hall","Dunfield Rd and Stillmeadow Rd",1,0,N/A
1694935,"June 1, 2020",Illinois,Chicago,"3600 block of E 106th St",0,1,N/A
1694932,"June 1, 2020",Georgia,Atlanta,"2427 Gresham Rd SE",1,0,N/A
