"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1712230,"June 21, 2020",Virginia,"Virginia Beach","3700 block of Whitney Cr",0,2,N/A
1712213,"June 21, 2020",Louisiana,"New Orleans","N Tonti St and A P Tureaud Ave",0,1,N/A
1712210,"June 21, 2020","New York",Syracuse,"200 block of Wolf St",0,0,N/A
1712207,"June 21, 2020","New York",Syracuse,"200 block of Onondaga Ave",0,0,N/A
1712914,"June 21, 2020",Virginia,Suffolk,"114 Nancy Dr",0,1,N/A
1712365,"June 21, 2020",Illinois,Chicago,"6200 block of N Troy St",1,0,N/A
1713427,"June 21, 2020",Mississippi,Jackson,"5900 block of I-55 N Frontage Rd",0,1,N/A
1712923,"June 21, 2020",Virginia,Norfolk,"600 Gresham Dr",0,0,N/A
1712168,"June 21, 2020",California,"Santa Maria","2250 Preisker Ln",0,1,N/A
1712163,"June 21, 2020",California,"San Diego","3600 block of 47th St",0,1,N/A
1713331,"June 21, 2020",Louisiana,Lafayette,"100 block of Evelyn Dr",0,1,N/A
1713327,"June 21, 2020","New York",Brooklyn,"143 Hull St",0,1,N/A
1715980,"June 21, 2020",Tennessee,Nashville,"Ellington Pkwy and Cleveland St",0,0,N/A
1712146,"June 21, 2020","New York",Brooklyn,"1776 Union St",0,0,N/A
1714873,"June 21, 2020",Alabama,"Birmingham (Center Point)","149 Haversham Dr NW",0,1,N/A
1711670,"June 21, 2020",Minnesota,"Minneapolis (Crystal)","5216 W Broadway Ave",1,0,N/A
1712518,"June 21, 2020",Minnesota,Minneapolis,"3315 Bryant Ave N",1,0,N/A
1713236,"June 21, 2020",Michigan,Saginaw,"Maplewood Ave",0,1,N/A
1712133,"June 21, 2020",Alabama,Monroeville,N/A,1,1,N/A
1712670,"June 21, 2020",Arizona,Phoenix,"1737 W Desert Cove Ave",1,0,N/A
1712120,"June 21, 2020","New York",Buffalo,"400 block of Guilford St",0,2,N/A
1712115,"June 21, 2020","New York",Buffalo,"Grider St and E Ferry St",0,1,N/A
1712111,"June 21, 2020","New York",Buffalo,"Bailey Ave",0,1,N/A
1711724,"June 21, 2020",Kentucky,Louisville,"4100 block of W Market St",1,2,N/A
1711732,"June 21, 2020",Kentucky,Louisville,"Southern Ave and Hemlock St",1,0,N/A
1712089,"June 21, 2020",Minnesota,Minneapolis,"2000 block of Lyndale Ave N",0,1,N/A
1712082,"June 21, 2020",Minnesota,Minneapolis,"3100 block of Girard Ave N",0,1,N/A
1712070,"June 21, 2020",Minnesota,Minneapolis,"Plymouth Ave and Morgan Ave",0,1,N/A
1712066,"June 21, 2020","New York",Brooklyn,"1725 Sterling Pl",0,3,N/A
1711441,"June 21, 2020","New York","Staten Island","Targee St and Dekalb St",0,1,N/A
1712052,"June 21, 2020","North Carolina",Raleigh,"100 block of Prospect Ave",0,1,N/A
1713178,"June 21, 2020",Michigan,Flint,"5226 Saginaw St",0,1,N/A
1712021,"June 21, 2020",Tennessee,Nashville,"600 block of Joseph Ave",0,1,N/A
1714705,"June 21, 2020",Michigan,"Lincoln Park","I-75 and W Outer Dr",0,1,N/A
1714722,"June 21, 2020",Missouri,"Saint Louis","McMillan Ave and Walnut Ave",0,1,N/A
1711988,"June 21, 2020",Texas,Dallas,"7900 block of Cliffbrook Dr",0,0,N/A
1711987,"June 21, 2020","New York",Brooklyn,"131 Belmont Ave",0,0,N/A
1711747,"June 21, 2020","New York",Buffalo,"W Ferry St and Niagara St",0,4,N/A
1711950,"June 21, 2020","New York",Brooklyn,"154 Utica Ave",0,0,N/A
1711931,"June 21, 2020",Tennessee,Hampton,N/A,0,1,N/A
1711626,"June 21, 2020",Texas,Austin,"500 block of E 7th St",0,5,N/A
1711910,"June 21, 2020",Michigan,Detroit,"19300 block of Cameron St",1,0,N/A
1711917,"June 21, 2020",Michigan,Detroit,"7300 block of St John St",0,2,N/A
1711904,"June 21, 2020",Tennessee,Chattanooga,"1100 Grove St",0,1,N/A
1711902,"June 21, 2020",Alabama,Huntsville,"Pulaski Pike NW and Clayton Dr NW",0,1,N/A
1711860,"June 21, 2020","South Carolina",Florence,"National Cemetery Rd",0,1,N/A
1711854,"June 21, 2020","South Carolina","Lake City","2700 block of Solomon Rd",1,0,N/A
1711846,"June 21, 2020","South Carolina","Myrtle Beach","5th Ave N and Ocean Blvd",0,0,N/A
1711841,"June 21, 2020",Ohio,Columbus,"US-40 and I-70",0,1,N/A
1711829,"June 21, 2020",Georgia,Columbus,"4500 block of Armour Rd",0,0,N/A
1713102,"June 21, 2020",Tennessee,Nashville,"1515 Demonbreun St",0,0,N/A
1711823,"June 21, 2020",Georgia,Columbus,"800 block of 24th St",0,2,N/A
1713069,"June 21, 2020",Pennsylvania,Middletown,"W High St and N Union St",0,0,N/A
1713061,"June 21, 2020",Illinois,Gurnee,"4300 block of McClure Ave",0,1,N/A
1713050,"June 21, 2020",Illinois,Zion,"2800 block of Galilee Ave",1,0,N/A
1711809,"June 21, 2020",Ohio,"Cleveland (East Cleveland)","1600 block of Eddington Rd",0,1,N/A
1711804,"June 21, 2020",Ohio,Cleveland,"E 105th St and Gooding Ave",0,1,N/A
1711801,"June 21, 2020",Ohio,Cleveland,"E 144th St and Glendale Ave",0,1,N/A
1711799,"June 21, 2020",Ohio,Cleveland,"Payne Ave",0,1,N/A
1711795,"June 21, 2020",Ohio,Cleveland,"W 150th St and Puritas Ave",0,1,N/A
1713030,"June 21, 2020","New York",Albany,"N Lake Ave",0,0,N/A
1711792,"June 21, 2020",Georgia,Augusta,"1200 block of Broad St",1,0,N/A
1712039,"June 21, 2020",Virginia,"Virginia Beach","4300 block of Pleasant Valley Rd",1,1,N/A
