"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1713119,"June 22, 2020",Tennessee,Nashville,"12th Ave N and Jefferson St",1,0,N/A
1713451,"June 22, 2020",Texas,Waco,"2100 block of Proctor Ave",0,0,N/A
1712905,"June 22, 2020",Virginia,Portsmouth,"10 block of Royal St",0,1,N/A
1713240,"June 22, 2020",Nevada,"Las Vegas","3141 N Rancho Dr",0,1,N/A
1712868,"June 22, 2020",Tennessee,Chattanooga,"101 W 38th St",0,2,N/A
1717880,"June 22, 2020",Virginia,Roanoke,"3530 Dona Dr NW",0,1,N/A
1713904,"June 22, 2020",Illinois,Chicago,N/A,1,0,N/A
1716817,"June 22, 2020",Michigan,"Battle Creek","100 block of N Wabash Ave",0,0,N/A
1713381,"June 22, 2020",Minnesota,Minneapolis,"2100 block of Bryant Ave N",0,1,N/A
1715996,"June 22, 2020",Alabama,Mobile,"Rangeline Rd and US-90",0,1,N/A
1713678,"June 22, 2020",Missouri,"Saint Louis (Saint John)","9090 Saint Charles Rock Rd",1,2,N/A
1713500,"June 22, 2020",Alabama,Mobile,"7321 Theodore Dawes Rd",0,1,N/A
1713075,"June 22, 2020",California,"San Francisco","200 block of Leavenworth St",0,5,N/A
1713914,"June 22, 2020",Missouri,"Saint Louis","Dr Martin Luther King Dr and Arlington Ave",1,1,N/A
1713864,"June 22, 2020",Texas,Houston,"8400 Mykawa Rd",0,0,N/A
1713305,"June 22, 2020",Pennsylvania,Philadelphia,"1000 block of Cambridge St",0,2,N/A
1715981,"June 22, 2020","New York",Utica,"1200 block of Seymour Ave",0,1,N/A
1713303,"June 22, 2020",Michigan,Detroit,N/A,0,1,N/A
1713301,"June 22, 2020","New York",Bronx,"E 156th St and Park Ave",0,1,N/A
1713292,"June 22, 2020","New York",Bronx,"1415 Bristow St",0,2,N/A
1713862,"June 22, 2020",Washington,"Airway Heights","100 N Hayford Rd",0,0,N/A
1713274,"June 22, 2020","New York",Brooklyn,"1548 E New York Ave",1,0,N/A
1713266,"June 22, 2020",Pennsylvania,Philadelphia,"2800 block of W Sedgley Ave",0,1,N/A
1713269,"June 22, 2020",Michigan,"Grand Rapids","Marshall Ave SE and Adams St SE",0,1,N/A
1713264,"June 22, 2020","New York",Bronx,"1278 Morrison Ave",0,1,N/A
1713257,"June 22, 2020",Michigan,Detroit,"Cherrylawn St and 8 Mile Rd",0,0,N/A
1716769,"June 22, 2020",Nebraska,Omaha,"5355 N 30th St",0,1,N/A
1712342,"June 22, 2020","North Carolina",Charlotte,"1800 block of Beatties Ford Rd",4,5,N/A
1712984,"June 22, 2020",Virginia,Richmond,"300 block of Exmore Ct",0,1,N/A
1712485,"June 22, 2020",Pennsylvania,Philadelphia,"1400 block of S Vogdes St",1,1,N/A
1713770,"June 22, 2020",Texas,Edinburg,"4500 block of Phyllis Ln",0,1,N/A
1712724,"June 22, 2020","North Carolina",Charlotte,"5300 block of Montague St",1,0,N/A
1713855,"June 22, 2020",Texas,Houston,"7900 block of Blue St",1,2,N/A
1713052,"June 22, 2020",Missouri,"Kansas City","9424 NE 91st St",2,0,N/A
1714791,"June 22, 2020",Iowa,Davenport,"W Kimberly Rd and N Division St",0,0,N/A
1714786,"June 22, 2020",Virginia,Winchester,"100 block of Fay St",0,0,N/A
1713202,"June 22, 2020","New York",Bronx,"Forest Ave and Westchester Ave",0,2,N/A
1713197,"June 22, 2020",Virginia,Danville,"1390 Piney Forest Rd",0,1,N/A
1713180,"June 22, 2020",Michigan,Kalamazoo,"1320 Fox Ridge Dr",0,1,N/A
1713165,"June 22, 2020","New York",Buffalo,"Cambridge Ave and E Ferry St",0,1,N/A
1713149,"June 22, 2020","New York",Albany,"Woodlawn Ave",0,1,N/A
1717753,"June 22, 2020","New York",Geneva,"Exchange St",0,0,N/A
1714695,"June 22, 2020",Oregon,Salem,N/A,0,1,N/A
1714683,"June 22, 2020",California,Rosamond,"3400 block of Leopard Ct",0,0,N/A
1714681,"June 22, 2020",Iowa,Burlington,"1500 block of Gnahn St",0,0,N/A
1713155,"June 22, 2020","New York",Troy,"Hutton St and 5th Ave",0,3,N/A
1713308,"June 22, 2020","New York",Bronx,"University Ave and W 168th St",0,1,N/A
1716661,"June 22, 2020","West Virginia",Martinsburg,"100 Dale Earnhardt Ln",0,0,N/A
1714854,"June 22, 2020",Kentucky,Glasgow,N/A,0,0,N/A
1712909,"June 22, 2020",Virginia,Norfolk,"9400 block of Hickory St",1,0,N/A
1713121,"June 22, 2020",Illinois,Chicago,"1300 block of S Central Park Ave",0,1,N/A
1713548,"June 22, 2020",Texas,Giddings,"800 block of W Washington St",1,0,N/A
1713067,"June 22, 2020",Wisconsin,Milwaukee,"2400 block of North 29th St",0,1,N/A
1713064,"June 22, 2020",Wisconsin,Milwaukee,"800 block of West Atkinson Ave",0,1,N/A
1715702,"June 22, 2020","New Mexico","Santa Cruz","Carmelitos Dr",0,0,N/A
1713040,"June 22, 2020",Connecticut,Bridgeport,N/A,0,1,N/A
1713822,"June 22, 2020",Connecticut,Bridgeport,"2000 block of Fairfield Ave",1,0,N/A
1713109,"June 22, 2020",Tennessee,Murfreesboro,"2834 Middle Tennessee Blvd",0,2,N/A
1713046,"June 22, 2020","South Carolina",Patrick,"Lizzie Byrd Rd",2,0,N/A
1712994,"June 22, 2020",Illinois,Champaign,"1615 Rion Dr",1,0,N/A
1714445,"June 22, 2020",Tennessee,Sweetwater,"200 block of Billingsley Rd",1,0,N/A
1713790,"June 22, 2020","New York",Brooklyn,"Sterling St and Brooklyn Ave",0,5,N/A
1714371,"June 22, 2020",California,Stockton,"400 block of Delhi Ave",0,1,N/A
1715019,"June 22, 2020",Nevada,"North Las Vegas","628 W Craig Rd",1,0,N/A
1713811,"June 22, 2020",Connecticut,Bridgeport,"750 Williams St",1,0,N/A
1712860,"June 22, 2020",Nevada,"Las Vegas","2100 block of Citrus Hills Ave",0,1,N/A
1714950,"June 22, 2020",Pennsylvania,Harrisburg,"16th St and Market St",1,0,N/A
1714334,"June 22, 2020","North Carolina",Washington,"Mansfield Rd",0,1,N/A
1715035,"June 22, 2020",Utah,"Salt Lake City (West Valley City)","1430 W 3500 S",1,0,N/A
1712595,"June 22, 2020",California,Riverside,"10390 Arlington Ave",2,1,N/A
1715594,"June 22, 2020","New Mexico","Santa Fe","345 Camino Del Monte Sol",0,0,N/A
1714283,"June 22, 2020","North Carolina",Asheville,"570 Oakland Rd",0,1,N/A
1712876,"June 22, 2020",Minnesota,Minneapolis,"N Morgan Ave and N 16th Ave",0,4,N/A
1712898,"June 22, 2020",Minnesota,Minneapolis,"627 W Broadway",0,4,N/A
1714268,"June 22, 2020",Minnesota,Minneapolis,"N 25th Ave and N 4th St",0,1,N/A
1715506,"June 22, 2020",Minnesota,Minneapolis,"2927 N Irving Ave",0,0,N/A
1714154,"June 22, 2020","North Carolina",Lumberton,"2361 Lackey Rd",0,1,N/A
1716431,"June 22, 2020",Colorado,Pueblo,"1400 block of 18th St",2,0,N/A
1715483,"June 22, 2020",Illinois,Waukegan,"1000 block of N Ash St",0,1,N/A
1713111,"June 22, 2020",Illinois,Chicago,"6500 block of S Claremont Ave",0,1,N/A
1716405,"June 22, 2020",Illinois,Chicago,"Seeley Ave and 11th St",1,0,N/A
1712834,"June 22, 2020",Minnesota,Austin,"800 block of 6th Ave SE",0,0,N/A
1713788,"June 22, 2020","New York","Staten Island","286 Jersey St",0,1,N/A
1712830,"June 22, 2020",Minnesota,Austin,"300 block of S Main St",0,0,N/A
1715444,"June 22, 2020",Illinois,Rockford,"1600 block of 10th Ave",0,0,N/A
1715441,"June 22, 2020",Illinois,Rockford,"3600 block of Zermatt Ct",0,1,N/A
1712609,"June 22, 2020",Georgia,Columbus,"Nina St and 17th Ave",1,0,N/A
1715423,"June 22, 2020",Illinois,Willowbrook,"IL-83 and Honeysuckle Rose Ln",0,1,N/A
1715413,"June 22, 2020",Mississippi,Magee,"Old Tower Rd",1,0,N/A
1713348,"June 22, 2020",Wisconsin,Milwaukee,"4800 block of N 32nd St",0,1,N/A
1714166,"June 22, 2020",Georgia,Atlanta,"300 block of Westchester Blvd",1,1,N/A
1714987,"June 22, 2020",Arizona,Tucson,"Jade Place and Curtis Rd",0,1,N/A
1714150,"June 22, 2020",Georgia,Dallas,"455 Nathan Dean Blvd",0,0,N/A
1714133,"June 22, 2020",Wisconsin,Hazelhurst,"6200 block of Big Doe Rd",0,1,N/A
1715356,"June 22, 2020",Louisiana,Monroe,"900 block of Luther Dr",0,0,N/A
1714111,"June 22, 2020","District of Columbia",Washington,"3200 block of 13th St SE",0,2,N/A
1714084,"June 22, 2020",Indiana,Elkhart,"Cone St and Woodlawn Ave",1,0,N/A
1714110,"June 22, 2020",Wisconsin,"Fond Du Lac","200 block of 19th St",0,0,N/A
1715353,"June 22, 2020","North Carolina",Chadbourn,"600 block of S Wilkes St",1,0,N/A
1712567,"June 22, 2020","District of Columbia",Washington,"1300 block of 45th Pl NE",0,1,N/A
1712571,"June 22, 2020",Wisconsin,Neenah,"933 Adams St",1,0,N/A
1714097,"June 22, 2020",Florida,Tampa,"15000 block of Lakeshore Villa St",1,0,N/A
1712707,"June 22, 2020",Kentucky,Henderson,"200 block of S Holloway St",0,0,N/A
1714086,"June 22, 2020",Louisiana,Shreveport,"1901 Centenary Blvd",0,1,N/A
1714077,"June 22, 2020","New York",Lakeview,"Eagle Ave and Hempstead Garden Dr",0,1,N/A
1716343,"June 22, 2020",California,Patterson,N/A,0,1,N/A
1717296,"June 22, 2020",Michigan,Detroit,"15000 block of Whitcomb",1,0,N/A
1716334,"June 22, 2020",California,"Baldwin Park (Irwindale)","3000 block of Huntington Dr",0,1,N/A
1714049,"June 22, 2020",California,"Palm Desert","41945 Boardwalk",1,0,N/A
1714045,"June 22, 2020",Florida,"Hollywood (West Park)","5800 block of SW 27th St",1,0,N/A
1712647,"June 22, 2020",California,Fresno,"4781 N Polk Ave",0,1,N/A
1712568,"June 22, 2020",Illinois,Chicago,"4700 block of W Erie St",0,2,N/A
1714260,"June 22, 2020","South Carolina",Greenville,"1 Cedar Brook Ct",0,1,N/A
1714029,"June 22, 2020",Illinois,Chicago,"4900 block of S Winchester Ave",0,2,N/A
1714021,"June 22, 2020",Illinois,Chicago,"100 block of W 95th St",0,2,N/A
1714018,"June 22, 2020",Illinois,Chicago,"2500 block of W Fullerton Ave",0,1,N/A
1712604,"June 22, 2020",Illinois,Chicago,"5900 block of S State St",0,1,N/A
1713572,"June 22, 2020",California,Venice,"119 Lincoln Blvd",2,0,N/A
1712593,"June 22, 2020",Illinois,Chicago,"900 block of N Karlov Ave",0,1,N/A
1712584,"June 22, 2020",Illinois,Chicago,"5400 block of W Gladys Ave",0,2,N/A
1714014,"June 22, 2020",Maryland,Parkville,"3400 block of Lambros Rd",0,1,N/A
1712560,"June 22, 2020",Maryland,Baltimore,"2700 block of E Federal St",0,1,N/A
1712558,"June 22, 2020",Maryland,Baltimore,"700 block of N Collington Ave",0,1,N/A
1712553,"June 22, 2020",Illinois,Chicago,"5600 block of W Roosevelt Rd",0,1,N/A
1712551,"June 22, 2020",Kansas,Topeka,"500 block of NE Sardou Ave",0,1,N/A
1713994,"June 22, 2020",Maryland,Hyattsville,"2057 University Blvd E",0,2,N/A
1712544,"June 22, 2020",Illinois,Chicago,"800 block of N Cambridge Ave",0,1,N/A
1712540,"June 22, 2020",Illinois,Chicago,"5100 block of S Calumet Ave",0,1,N/A
1712538,"June 22, 2020",Georgia,Thomasville,"500 block of Cassidy Rd",0,1,N/A
1712475,"June 22, 2020",Florida,"Pompano Beach","614 Gardens Dr",1,0,N/A
1712520,"June 22, 2020",Illinois,Chicago,"11800 block of S Emerald Ave",0,2,N/A
1713977,"June 22, 2020",Minnesota,"Minneapolis (Crystal)","5216 W Broadway Ave",0,3,N/A
1712496,"June 22, 2020",Illinois,Chicago,"1500 block of S Sawyer Ave",0,1,N/A
1713974,"June 22, 2020",Pennsylvania,Philadelphia,"900 block of N 11th St",0,2,N/A
1712494,"June 22, 2020",Pennsylvania,Philadelphia,"200 block of Hobart St",0,1,N/A
1713965,"June 22, 2020",Florida,Pensacola,"Bobe St and Oakwood Ave",0,0,N/A
1713953,"June 22, 2020",Florida,Pensacola,"Fiesta Dr",0,1,N/A
1712466,"June 22, 2020",Florida,Miami,"NW 22nd Ave and 74th St",0,2,N/A
1713817,"June 22, 2020",Connecticut,Bridgeport,"533 Harral Ave",0,2,N/A
1712459,"June 22, 2020",Tennessee,Memphis,"3500 block of W Horn Lake Rd",1,0,N/A
1712454,"June 22, 2020",Virginia,"Virginia Beach","3000 block of Pacific Ave",1,0,N/A
