"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1696472,"June 3, 2020",Missouri,Hazelwood,"6950 N Hanley Rd",0,1,N/A
1696445,"June 3, 2020",Wisconsin,Milwaukee,"2200 block of N 14th St",0,1,N/A
1697175,"June 3, 2020",Colorado,Pueblo,"N Lacrosse Ave",0,0,N/A
1697048,"June 3, 2020","New York",Bronx,"Clay Ave and Teller Ave",1,0,N/A
1696723,"June 3, 2020",Arkansas,Bryant,"15400 block of Evergreen St",1,0,N/A
1697164,"June 3, 2020","New York",Utica,"1200 block of Neilson St",0,1,N/A
1696435,"June 3, 2020",Wisconsin,"Green Bay","Berner St and N Clay St",0,0,N/A
1696432,"June 3, 2020",Indiana,Indianapolis,"300 block of N Forest Ave",0,1,N/A
1696484,"June 3, 2020",Kentucky,Louisville,"2501 W Broadway",0,0,N/A
1696409,"June 3, 2020",Colorado,Aurora,"999 S Zeno Way",0,1,N/A
1698075,"June 3, 2020",Illinois,Centralia,"600 block of Rhodes St",0,0,N/A
1698072,"June 3, 2020","New York",Monticello,"Jefferson St and Broadway",0,1,N/A
1696403,"June 3, 2020",California,Oakland,"5700 block of Harmon Ave",0,0,N/A
1696401,"June 3, 2020",Oklahoma,Poteau,"700 block of Dewey Ave",1,0,N/A
1697135,"June 3, 2020",Florida,Cocoa,"Ixora Ave",0,1,N/A
1698819,"June 3, 2020",Colorado,Monument,"17000 block of Pawnee Valley Trl",0,0,N/A
1696397,"June 3, 2020",California,Fresno,"S Recreation Ave and E Orleans Ave",0,0,N/A
1696379,"June 3, 2020",Pennsylvania,Lancaster,"2649 Sutton Pl",1,0,N/A
1697120,"June 3, 2020",Florida,"Palm Beach Gardens","Gull Rd",0,1,N/A
1697106,"June 3, 2020",Kentucky,"Louisville (Saint Matthews)",N/A,0,0,N/A
1696381,"June 3, 2020",Pennsylvania,Philadelphia,"61st St and Buist Ave",1,2,N/A
1696370,"June 3, 2020","North Carolina",Maxton,"4000 block of Red Hill Rd",1,0,N/A
1697082,"June 3, 2020","New York",Albany,"Judson St and Second St",0,2,N/A
1696355,"June 3, 2020","North Carolina",Raleigh,"N Raleigh Blvd and Cantwell Ct",0,1,N/A
1696349,"June 3, 2020",Texas,Houston,"10400 Hammerly Blvd",0,1,N/A
1696345,"June 3, 2020","North Carolina",Wilmington,"900 block of S 14th St",0,1,N/A
1696443,"June 3, 2020",Wisconsin,Milwaukee,"2900 block of N Sherman Blvd",1,0,N/A
1696130,"June 3, 2020",Arkansas,"Hot Springs National Park (Hot Springs)","205 Wood St",0,1,N/A
