"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1687499,"May 23, 2020",Texas,Lufkin,"215 Lane Dr",0,1,N/A
1689235,"May 23, 2020",Arkansas,"El Dorado","Myrtle Grove Rd",2,0,N/A
1687400,"May 23, 2020",Texas,Dallas,"9600 block of Ferris Branch Blvd",1,1,N/A
1690253,"May 23, 2020",Illinois,"East Saint Louis","306 River Park Dr",1,1,N/A
1686527,"May 23, 2020","New Jersey",Paterson,"50 16th Ave",1,0,N/A
1689045,"May 23, 2020",Illinois,"East Saint Louis","3200 block of Linden Ave",0,1,N/A
1689212,"May 23, 2020",Mississippi,Vicksburg,N/A,0,0,N/A
1686509,"May 23, 2020",Texas,"San Antonio","3010 W Loop 1604 N",0,3,N/A
1688207,"May 23, 2020",Virginia,"Newport News","36th St and Marshall Ave",0,1,N/A
1689198,"May 23, 2020",Mississippi,Toomsuba,"US-80 and Russell Mt Gilead Rd",0,0,N/A
1687455,"May 23, 2020",Oklahoma,Tulsa,"4950 S Mingo Rd",0,0,N/A
1686346,"May 23, 2020",Arkansas,"Pine Bluff","1900 block of Mulberry St",1,0,N/A
1686772,"May 23, 2020",California,"Los Angeles","200 block of W 76th St",0,2,N/A
1686767,"May 23, 2020",Massachusetts,Boston,"30 Stellman Rd",0,0,N/A
1686766,"May 23, 2020",Arkansas,Texarkana,"2415 Texas Blvd",0,0,N/A
1686390,"May 23, 2020",Arizona,Phoenix,"2000 E Burgess Ln",0,3,N/A
1686758,"May 23, 2020",California,Fresno,"E Normal Ave and Mayfair Dr W",0,1,N/A
1686750,"May 23, 2020",California,Bakersfield,"400 block of Union Ave",1,1,N/A
1686700,"May 23, 2020",California,Pasadena,"1500 block of N Lake Ave",1,1,N/A
1686743,"May 23, 2020",California,"San Jose","2650 Madden Ave",0,1,N/A
1686461,"May 23, 2020",Utah,"Salt Lake City","900 S and 300 W",1,0,N/A
1686734,"May 23, 2020",California,Vista,"400 Sycamore Ave",0,1,N/A
1686227,"May 23, 2020",Texas,Houston,"13255 Fondren Rd",1,0,N/A
1686222,"May 23, 2020",Texas,Houston,"2900 Travis St",0,4,N/A
1686728,"May 23, 2020",California,Redding,"3400 block of Oasis Rd",0,1,N/A
1691034,"May 23, 2020",Kentucky,Henderson,"2030 US-41 N",0,0,N/A
1689175,"May 23, 2020",Alabama,"Hope Hull","11000 block of Co Rd 26",1,0,N/A
1686726,"May 23, 2020",Colorado,Denver,"5500 block of Wheeling St",0,1,N/A
1688154,"May 23, 2020",Texas,"Fort Worth","3800 block of Irish Setter Dr",1,0,N/A
1689168,"May 23, 2020",Illinois,Urbana,"1700 block of Cottage Grove Ave",0,0,N/A
1686709,"May 23, 2020",California,"North Hills","15200 block of Sunburst St",0,1,N/A
1686703,"May 23, 2020",Louisiana,"New Orleans","1600 block of Mandeville St",1,0,N/A
1687375,"May 23, 2020",Texas,Houston,"15002 Ella Blvd",0,2,N/A
1686971,"May 23, 2020",Pennsylvania,Allentown,"50 block of E Cumberland St",1,0,N/A
1687556,"May 23, 2020",Ohio,Dayton,"616 Summit Square Dr",1,0,N/A
1687341,"May 23, 2020",Missouri,Springfield,"1100 block of N Missouri Ave",0,1,N/A
1686669,"May 23, 2020",Virginia,Lynchburg,"D St and Norwood St",0,1,N/A
1687327,"May 23, 2020",Missouri,"Birch Tree","County Rd 464",1,0,N/A
1689062,"May 23, 2020",Connecticut,Hartford,"Garden St",0,0,N/A
1686643,"May 23, 2020",Tennessee,Memphis,"3920 Fun Valley Dr",2,0,N/A
1686813,"May 23, 2020","New York",Schenectady,"Craig St and Stanley St",1,0,N/A
1687297,"May 23, 2020",Missouri,"Saint Louis","Virginia Ave and Bates St",0,1,N/A
1687295,"May 23, 2020",Missouri,"Saint Louis","N Newstead Ave and St Louis Ave",0,1,N/A
1687293,"May 23, 2020",Missouri,"Saint Louis","1400 block of N Market St",0,1,N/A
1687247,"May 23, 2020",Missouri,"Saint Louis","5000 block of Union Blvd",0,1,N/A
1686599,"May 23, 2020","New York",Bronx,"941 Hoe Ave",1,0,N/A
1689018,"May 23, 2020",Illinois,Chicago,"W Leland Ave and N Magnolia Ave",0,0,N/A
1691918,"May 23, 2020",Montana,Missoula,"305 E Front St",0,1,N/A
1686333,"May 23, 2020",Pennsylvania,Pittsburgh,"100 block of Rhine Pl",0,1,N/A
1686615,"May 23, 2020",Illinois,"Rock Island","800 14 1/2 St",1,4,N/A
1691874,"May 23, 2020",Maryland,Frederick,"500 block of Prospect Blvd",0,0,N/A
1688945,"May 23, 2020",Illinois,Chicago,"400 block of W 107th St",0,0,N/A
1687980,"May 23, 2020",Massachusetts,Boston,"198 Harold St",0,0,N/A
