"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1691160,"May 28, 2020",Nebraska,Lincoln,"5300 block of S 53rd St",0,0,N/A
1691140,"May 28, 2020",Illinois,Quincy,"400 block of Chestnut St",0,0,N/A
1691132,"May 28, 2020",Mississippi,Jackson,"Morton Ave",0,0,N/A
1691126,"May 28, 2020",Texas,Houston,"1604 FM 1960 W",0,1,N/A
1691119,"May 28, 2020",Nebraska,"Grand Island","E Oklahoma Ave and S Sycamore St",0,1,N/A
1691117,"May 28, 2020",Illinois,Chicago,"2300 block of W Medill Ave",0,0,N/A
1691107,"May 28, 2020",Illinois,Chicago,"1300 block of W 87th St",0,0,N/A
1692170,"May 28, 2020",Missouri,Lamar,"1200 block of Grand St",0,1,N/A
1692369,"May 28, 2020",Louisiana,"Westwego (Bridge City)","100 block of 9th St",1,1,N/A
1692964,"May 28, 2020",Louisiana,Shreveport,"Wallace Ave and W 68th St",0,0,N/A
1691047,"May 28, 2020",Alabama,"Birmingham (Tarrant)","1100 block of Birmingham St",1,0,N/A
1691194,"May 28, 2020",Missouri,"Saint Louis","4600 block of Minnesota Ave",1,0,N/A
1690838,"May 28, 2020",Virginia,Hampton,"4800 block of 82nd St",0,1,N/A
1691440,"May 28, 2020",Pennsylvania,Philadelphia,"300 block of N 55th St",1,3,N/A
1691221,"May 28, 2020",Kentucky,Louisville,"601 W Jefferson St",0,7,N/A
1691013,"May 28, 2020",Kentucky,Lexington,"Pennebaker Dr and Belfour Dr",0,2,N/A
1691007,"May 28, 2020",Florida,Miami,"NW 32nd Ave",0,2,N/A
1691513,"May 28, 2020","New York","New York (Manhattan)","724 E 6th St",0,1,N/A
1691825,"May 28, 2020",Wisconsin,Racine,"1100 block of Racine St",1,0,N/A
1691052,"May 28, 2020",Texas,"Wichita Falls","1200 Ridgeway Dr",0,1,N/A
1690939,"May 28, 2020",Florida,"Fruitland Park","4500 block of Picciola Rd",2,0,N/A
1692041,"May 28, 2020",Virginia,Martinsville,"221  Venna Ave",3,0,N/A
1690947,"May 28, 2020",Michigan,Jackson,"1200 block of Chittock Ave",1,0,N/A
