"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1693743,"May 31, 2020",Mississippi,Jackson,"100 block of Maple Ridge Dr",0,1,N/A
1703910,"May 31, 2020",Texas,Huntsville,"Lake Rd",1,0,N/A
1694602,"May 31, 2020","West Virginia",Martinsburg,"101 W Martin St",0,0,N/A
1693729,"May 31, 2020",Ohio,Cleveland,N/A,0,1,N/A
1695576,"May 31, 2020",California,Hayward,"1984 National Ave",0,0,N/A
1695572,"May 31, 2020",California,Fremont,"40655 Grimmer Blvd",0,0,N/A
1693414,"May 31, 2020","New York",Bronx,"2976 Lawton Ave",1,0,N/A
1694854,"May 31, 2020",Texas,Austin,"715 E 8th St",0,1,N/A
1695568,"May 31, 2020",Oregon,Eugene,"W 12th Ave and Washington St",0,1,N/A
1697046,"May 31, 2020",Texas,Austin,"715 E 8th St",0,1,N/A
1694745,"May 31, 2020",Mississippi,Columbus,"2000 6th St N",1,0,N/A
1694080,"May 31, 2020",Illinois,Chicago,"8300 S Kedzie Ave",1,0,N/A
1693783,"May 31, 2020",Louisiana,"New Orleans (Algiers)","2900 block of Preston Pl",1,0,N/A
1703825,"May 31, 2020",Nebraska,Lincoln,"2800 block of SW 6th St",0,0,N/A
1701214,"May 31, 2020",Louisiana,Monroe,"Breece Cir",0,0,N/A
1695190,"May 31, 2020",Virginia,Lynchburg,"801 Fifth St",0,0,N/A
1693268,"May 31, 2020",Nevada,"Las Vegas","45 E Horizon Ridge Parkway",0,0,N/A
1693672,"May 31, 2020","New York",Buffalo,"50 block of Comstock Ave",0,1,N/A
1694474,"May 31, 2020",Kentucky,Louisville,"S 9th St and W Broadway",0,0,N/A
1693670,"May 31, 2020",Missouri,"Saint Louis","3100 block of Nebraska Ave",0,1,N/A
1693667,"May 31, 2020",Missouri,"Saint Louis","N Tucker Blvd and Convention Plaza",0,1,N/A
1693587,"May 31, 2020",Missouri,"Saint Louis","Dr Martin Luther King Dr and Lenoir K Sullivan Blvd",0,3,N/A
1693593,"May 31, 2020",Missouri,"Saint Louis","N 17th St and Delmar Blvd",0,3,N/A
1693656,"May 31, 2020",Louisiana,Shreveport,"2400 Lakeshore",0,1,N/A
1693648,"May 31, 2020",Louisiana,Shreveport,"4100 block of Hearne Ave",0,2,N/A
1693630,"May 31, 2020",Louisiana,Shreveport,"6200 block of Rufus Drive",2,0,N/A
1693787,"May 31, 2020","New York",Syracuse,"500 block of S Geddes St",1,0,N/A
1694414,"May 31, 2020",California,"Santa Ana","1600 S Evergreen St",1,0,N/A
1693609,"May 31, 2020",California,"Los Angeles","800 block of E 33rd St",0,1,N/A
1693601,"May 31, 2020",California,"Long Beach","Pine Ave and Pacific Coast Hwy",0,0,N/A
1693585,"May 31, 2020",California,Oakland,"1000 block of 34th St",1,0,N/A
1694511,"May 31, 2020",Michigan,Detroit,"Portlance Ave and Simms St",1,1,N/A
1693866,"May 31, 2020",Colorado,"Commerce City","8100 block of Brighton Rd",1,0,N/A
1695441,"May 31, 2020",Illinois,Peoria,"4100 block of W Charter Oak Rd",0,0,N/A
1694508,"May 31, 2020",Michigan,Detroit,"Midland St and Ardmore St",0,2,N/A
1694506,"May 31, 2020",Michigan,Detroit,"Seven Mile E and Healy Ave",0,1,N/A
1693570,"May 31, 2020",Missouri,"Kansas City","5800 block of Garfield Ave",0,1,N/A
1693317,"May 31, 2020",Illinois,Chicago,"3300 block of W 71st St",1,0,N/A
1693565,"May 31, 2020",Iowa,Davenport,"Eastern Ave and E Kimberly Rd",0,0,N/A
1693563,"May 31, 2020","New York",Brooklyn,"2416 Newkirk Ave",0,1,N/A
1693562,"May 31, 2020","New York",Brooklyn,"Park Pl and Classon Ave",0,0,N/A
1693560,"May 31, 2020","New York",Brooklyn,"719 Kingsborough 7th Walk",0,1,N/A
1694498,"May 31, 2020",Michigan,Gladwin,"5477 Worthington Ct",0,1,N/A
1693558,"May 31, 2020",Missouri,"Kansas City","3700 block of Bellefontaine Ave",0,1,N/A
1693557,"May 31, 2020","New York",Bronx,"E 144th St and Brook Ave",0,0,N/A
1693556,"May 31, 2020","New York",Brooklyn,"2257 W 11th St",0,0,N/A
1693552,"May 31, 2020","New York","Corona (Queens)","145th Rd and 180th St",0,1,N/A
1694576,"May 31, 2020","New York","Corona (Queens)","Almeda Ave and Beach 66th St",0,0,N/A
1701059,"May 31, 2020",Texas,Dallas,"1025 W Wheatland Rd",1,0,N/A
1693286,"May 31, 2020","South Carolina","Rock Hill","1100 block of Carolina Ave Ext",1,1,N/A
1694250,"May 31, 2020",Iowa,Davenport,"3101 W Kimberly Road",1,0,N/A
1696302,"May 31, 2020",Texas,Odessa,"1300 block of Gunsmoke Rd",0,0,N/A
1696290,"May 31, 2020","North Carolina",Statesville,"300 Block of S Center St",0,0,N/A
1697014,"May 31, 2020",Illinois,Waukegan,N/A,0,1,N/A
1693939,"May 31, 2020","New Hampshire",Gilmanton,"139 Lakeshore Dr",1,0,N/A
1710052,"May 31, 2020",Michigan,Detroit,"1 Kennedy Square",0,3,N/A
1696260,"May 31, 2020","South Carolina",Orangeburg,"2414 Old Edisto Dr",0,1,N/A
1693513,"May 31, 2020",Illinois,Chicago,"1600 W Harrison St",0,2,N/A
1694462,"May 31, 2020",Louisiana,Ruston,"3000 block of Norton Dr",0,0,N/A
1693003,"May 31, 2020",Nebraska,Omaha,"1207 Harney St",1,0,N/A
1693510,"May 31, 2020",Illinois,Chicago,"10200 S Normal Ave",0,1,N/A
1694456,"May 31, 2020",Maine,"Rumford (RUMFORD)","5 Bridge St",0,0,N/A
1696183,"May 31, 2020",Texas,"Port Arthur","2600 block of 62nd St",0,1,N/A
1694452,"May 31, 2020",California,Venice,"225 Lincoln Blvd",0,1,N/A
1694448,"May 31, 2020","New York",Albany,"Judson St and 2nd St",0,1,N/A
1693818,"May 31, 2020","New York",Rome,"423 W Park St",0,1,N/A
1707184,"May 31, 2020",Virginia,Petersburg,"900 block of Halifax St",0,1,N/A
1695331,"May 31, 2020",Texas,Longview,N/A,0,0,N/A
1694132,"May 31, 2020",Illinois,"Riverside (North Riverside)","7513 Cermak Rd",1,0,N/A
1697933,"May 31, 2020",Michigan,Saginaw,"700 block of Vermont St",0,1,N/A
1694437,"May 31, 2020",Connecticut,Hartford,"605 Albany Ave",0,1,N/A
1693883,"May 31, 2020",Illinois,Chicago,"5100 block of W Madison St",1,2,N/A
1694193,"May 31, 2020",California,"Los Banos","1500 block of W Pacheco Blvd",1,0,N/A
1693484,"May 31, 2020",Illinois,Chicago,"3900 block of W Madison St",1,0,N/A
1694418,"May 31, 2020",Indiana,Indianapolis,"5800 block of Elwin Dr",0,1,N/A
1693477,"May 31, 2020",Illinois,Chicago,"200 block of E Huron St",1,0,N/A
1695267,"May 31, 2020",Massachusetts,Framingham,I-93,0,0,N/A
1694048,"May 31, 2020","District of Columbia",Washington,"2500 block of Elvans Rd SE",1,0,N/A
1694391,"May 31, 2020",Alabama,Montgomery,"3100 block of Court St",0,1,N/A
1693961,"May 31, 2020",Texas,"Fort Worth","4224 E Lancaster Ave",1,1,N/A
1694529,"May 31, 2020",Texas,"San Antonio","S Hackberry and Fair Ave",1,0,N/A
1693464,"May 31, 2020",Michigan,Detroit,"Brush St and Westminster Ave",1,0,N/A
1693455,"May 31, 2020",Michigan,Detroit,"Merrill St and Virginia Park St",0,0,N/A
1693397,"May 31, 2020",Illinois,Springfield,"E Edwards St and S 15th St",0,2,N/A
1693439,"May 31, 2020",Michigan,Detroit,"Wyoming Ave and Joy Rd",0,0,N/A
1693435,"May 31, 2020",Michigan,Detroit,"Grand River Ave and Lahser Rd",0,1,N/A
1693431,"May 31, 2020",Virginia,Richmond,"2000 block of West Grace St",0,1,N/A
1693055,"May 31, 2020",Indiana,Indianapolis,"E Ohio St and N Pennsylvania St",1,0,N/A
1694696,"May 31, 2020",California,"Los Angeles","Olympic Blvd and Hill St",1,0,N/A
1695213,"May 31, 2020",California,Covina,"1100 block of E Wanamaker Dr",1,0,N/A
1693299,"May 31, 2020",Indiana,"Fort Wayne","500 block of McKinnie Ave",1,2,N/A
1695221,"May 31, 2020",Wisconsin,Madison,"200 block of W Gilman St",0,0,N/A
1693706,"May 31, 2020",Pennsylvania,Reading,"300 block of Schuylkill Ave",0,3,N/A
1694641,"May 31, 2020",Tennessee,Memphis,"1198 Lamar Ave",0,1,N/A
1694335,"May 31, 2020",Texas,Houston,"5700 block of E Hampton Dr",1,0,N/A
1693371,"May 31, 2020",Pennsylvania,Pittsburgh,"7200 block of Kelly St",1,2,N/A
1693370,"May 31, 2020",Minnesota,Minneapolis,"2399 17th Ave S",0,0,N/A
1693924,"May 31, 2020",Montana,Billings,"2115 Canyon Dr",2,0,N/A
1693368,"May 31, 2020",Louisiana,"Baton Rouge","Beechwood Dr",0,1,N/A
1695756,"May 31, 2020","New Jersey","West Orange","3 Susan Ct",2,0,N/A
1694041,"May 31, 2020","South Carolina",Greenville,"1206 W Parker Rd",1,0,N/A
1693340,"May 31, 2020",Mississippi,Gulfport,"S Carolina Ave and Polk St",1,5,N/A
1693811,"May 31, 2020",Louisiana,Shreveport,"5900 block of Tulsa Ave",0,2,N/A
1693684,"May 31, 2020",Tennessee,Chattanooga,"2000 block of Sherman St",0,2,N/A
1694308,"May 31, 2020",Missouri,Columbia,"Circus Ave",0,0,N/A
1693306,"May 31, 2020",Wisconsin,Milwaukee,"3100 block of N 35th St",0,2,N/A
1695085,"May 31, 2020","District of Columbia",Washington,"4400 block of Livingston Rd SE",0,0,N/A
1694284,"May 31, 2020","North Carolina",Salisbury,"W Innes St and S Church St",0,0,N/A
1696866,"May 31, 2020","District of Columbia",Washington,"H St NW",0,1,N/A
1693273,"May 31, 2020","South Carolina",Florence,"W Lucas St",0,1,N/A
1693289,"May 31, 2020","North Carolina","Winston Salem (Winston-salem)","118 Charleston Ct",1,0,N/A
1693898,"May 31, 2020",California,"Long Beach","W 3rd St and Pine Ave",0,1,N/A
1694208,"May 31, 2020",Wisconsin,Watertown,"1731 S Church St",1,0,N/A
1696849,"May 31, 2020",Wisconsin,Kenosha,"2121 45th St",0,0,N/A
1693591,"May 31, 2020",Ohio,Columbus,"1091 S High St",1,0,N/A
1694232,"May 31, 2020",Alabama,Valley,"6500 block of 24th Ave",0,2,N/A
1693265,"May 31, 2020",Georgia,Waynesboro,"100 block of Zerbee Ln",0,1,N/A
1695939,"May 31, 2020",Florida,Tallahassee,"1435 S Monroe St",0,0,N/A
1695060,"May 31, 2020",California,"San Diego","5200 block of Lenox Dr",0,2,N/A
1695937,"May 31, 2020",Florida,Tallahassee,"3100 block of Huntington Woods Blvd",0,0,N/A
1693303,"May 31, 2020","New Mexico",Albuquerque,"801 Locust Place NE",0,0,N/A
1694224,"May 31, 2020",California,Bakersfield,"E California Ave and King St",1,1,N/A
1695055,"May 31, 2020",Maryland,Pasadena,"9300 block of Fort Smallwood Rd",0,0,N/A
1695054,"May 31, 2020",Maryland,"Glen Burnie","Aquahart Rd and Hamlen Rd",0,0,N/A
1695049,"May 31, 2020",Georgia,Valdosta,"1300 block of McArthur Dr",0,1,N/A
1693502,"May 31, 2020",Pennsylvania,Tioga,"17795 PA-287",1,0,N/A
1703381,"May 31, 2020","South Carolina",Columbia,"1 Justice Square",0,1,N/A
1693175,"May 31, 2020",Delaware,Newark,"500 block of Capitol Trail",0,1,N/A
1693239,"May 31, 2020",Illinois,Chicago,"6500 block of S Hermitage Ave",0,1,N/A
1694995,"May 31, 2020",Delaware,Dover,"Cecil St and N Governors Ave",0,1,N/A
1693232,"May 31, 2020",Illinois,Chicago,"7100 block of S St Lawrence Ave",0,2,N/A
1693230,"May 31, 2020",Illinois,Chicago,"5500 block of W Congress Ave",0,1,N/A
1693181,"May 31, 2020",Illinois,Chicago,"6800 block of S Laflin St",1,0,N/A
1693200,"May 31, 2020",Maryland,Baltimore,"500 block of N Port St",0,1,N/A
1693204,"May 31, 2020",Maryland,Baltimore,N/A,0,1,N/A
1694215,"May 31, 2020",Georgia,Atlanta,"Peachtree Rd and Peachtree Battle Ave",1,0,N/A
1694196,"May 31, 2020",Florida,"Gadsden (county)","SR 267",0,0,N/A
1693196,"May 31, 2020",Maryland,Baltimore,"5900 block of Radecke Ave",0,1,N/A
1693184,"May 31, 2020",Illinois,Chicago,"1200 block of N Mason Ave",1,0,N/A
1694172,"May 31, 2020",Illinois,Chicago,"500 W Pershing Rd",0,2,N/A
1694957,"May 31, 2020",Maryland,Lanham,"6300 block of Carters Ln",1,0,N/A
1694341,"May 31, 2020",Arizona,Phoenix,"N 43rd Ave and W Indian School Rd",1,0,N/A
1694167,"May 31, 2020",Illinois,Chicago,"200 S Laramie Ave",0,2,N/A
1694151,"May 31, 2020",Illinois,Chicago,"3500 W Cortland St",0,1,N/A
1694142,"May 31, 2020",Illinois,Chicago,"7600 S Racine Ave",0,1,N/A
1694140,"May 31, 2020",Illinois,Peoria,"700 block of E Kansas St",0,1,N/A
1694921,"May 31, 2020","New Jersey",Paterson,"Summer St",0,1,N/A
1693964,"May 31, 2020",Illinois,Chicago,"7100 S Peoria Ave",0,2,N/A
1694136,"May 31, 2020",Illinois,Chicago,"2500 S Kedzie Ave",0,1,N/A
1694134,"May 31, 2020",Illinois,Chicago,"1500 N Maplewood Ave",0,1,N/A
1698344,"May 31, 2020",California,"Los Angeles","Lincoln Blvd and Machado St",0,1,N/A
1694126,"May 31, 2020",Maryland,Baltimore,"1200 block of N Luzerne Ave",0,1,N/A
1694117,"May 31, 2020",California,"Walnut Creek","Olympic Blvd and Locust St",0,1,N/A
1694123,"May 31, 2020",Illinois,Chicago,"11500 S Halsted St",0,1,N/A
1693007,"May 31, 2020","District of Columbia",Washington,"600 block of O St NW",0,3,N/A
1694914,"May 31, 2020",Florida,Margate,"274 FL-7",0,0,N/A
1694119,"May 31, 2020",Illinois,Chicago,"8500 S Carpenter St",0,2,N/A
1694114,"May 31, 2020",Illinois,Chicago,"10800 S Green St",0,1,N/A
1694101,"May 31, 2020",Mississippi,Vicksburg,"1000 block of Stadium Dr",0,1,N/A
1694109,"May 31, 2020",California,Oakland,"1900 block of Embarcadeo",1,1,N/A
1694106,"May 31, 2020",Florida,Jacksonville,"9363 Gilchrist Ct",0,1,N/A
1694104,"May 31, 2020",Illinois,Chicago,"7400 S Vincennes Ave",0,1,N/A
1695915,"May 31, 2020",Florida,"Fort Lauderdale",N/A,0,2,N/A
1694097,"May 31, 2020",Florida,Jacksonville,"1934 McQuade St",0,1,N/A
1694862,"May 31, 2020",Florida,"Port Saint Lucie","SW Alminar St",1,0,N/A
1694088,"May 31, 2020",Illinois,Chicago,"3100 W Polk St",0,1,N/A
1694082,"May 31, 2020",California,"Los Angeles","York Blvd and N Ave 56",0,2,N/A
1694899,"May 31, 2020",California,"Long Beach","6978 Stanley Ave",0,0,N/A
1694895,"May 31, 2020",California,"Long Beach","3000 block of Anaheim St",0,0,N/A
1694893,"May 31, 2020",California,"Long Beach","Anaheim St and Alamitos Ave",0,1,N/A
1694073,"May 31, 2020",California,"Los Angeles","8928 South Western Ave",0,1,N/A
1693117,"May 31, 2020",Indiana,Indianapolis,"E 38th St and Orchard Ave",1,1,N/A
1694064,"May 31, 2020",California,"Los Angeles","Olive St and 9th St",1,0,N/A
1693878,"May 31, 2020",California,"Los Angeles","600 block of N Wilton Place",0,1,N/A
1694058,"May 31, 2020",Illinois,Chicago,"9100 block of S Stony Island Ave",0,1,N/A
1694054,"May 31, 2020",Illinois,Chicago,"100 W 87th St",0,1,N/A
1694872,"May 31, 2020",Illinois,Chicago,"5900 block of S Carpenter St",1,0,N/A
1694052,"May 31, 2020",Illinois,Chicago,"5600 block of S Princeton Ave",0,1,N/A
1694047,"May 31, 2020",Florida,"West Palm Beach","1751 Palm Beach Lakes Blvd",0,0,N/A
1694043,"May 31, 2020",Illinois,Chicago,"5500 block of Ida B Wells Dr",0,1,N/A
1697497,"May 31, 2020",Illinois,Chicago,"5500 block of W North Ave",0,1,N/A
1693519,"May 31, 2020",Illinois,Chicago,"1600 E 95th St",2,0,N/A
1694039,"May 31, 2020",Washington,Redmon,"164th Ave NE and Cleveland St",0,1,N/A
1694030,"May 31, 2020",Pennsylvania,"Upper Darby","1100 block of Cobbs Creek Pkwy",0,1,N/A
1694002,"May 31, 2020",Illinois,Chicago,"4500 block of S Ashland Ave",1,0,N/A
1694026,"May 31, 2020",California,Eureka,"3800 block of H St",0,1,N/A
1694023,"May 31, 2020",Oregon,Portland,"9200 block of NE Irving St",0,1,N/A
1694011,"May 31, 2020",Virginia,Hampton,"1100 block of W Mercury Blvd",1,1,N/A
1694004,"May 31, 2020",Virginia,"Virginia Beach","2000 block of Pacific Ave",0,1,N/A
1693998,"May 31, 2020",Illinois,Chicago,"4600 block of S Marshfield Ave",1,1,N/A
1693996,"May 31, 2020",Tennessee,Nashville,"Buchanan St and Dr DB Todd Jr Blvd",0,1,N/A
1693992,"May 31, 2020",Illinois,Chicago,"4200 block of W Van Buren St",1,0,N/A
1693990,"May 31, 2020",Oregon,Eugene,"W 11th Ave and Olive St",0,0,N/A
1693974,"May 31, 2020",Tennessee,Memphis,"Beale St and S 4th St",0,0,N/A
